tahun,bulan,maksimum,minimum,rata_rata
2014,01,100,48,82
2014,02,100,61,83
2014,03,98,59,78
2014,04,95,51,74
2014,05,95,53,73
2014,06,94,49,75
2014,07,95,45,74
2014,08,95,45,68
2014,09,88,31,62
2014,10,87,40,64
2014,11,92,52,71
2014,12,95,47,75
