tahun,bulan,maksimum,minimum,rata_rata
2011,01,90,71,79
2011,02,91,67,79
2011,03,81,69,76
2011,04,83,67,75
2011,05,82,72,76
2011,06,84,64,73
2011,07,83,65,74
2011,08,77,60,69
2011,09,79,60,68
2011,10,79,65,72
2011,11,80,62,74
2011,12,86,68,76
