tahun,bulan,maksimum,minimum,rata_rata
2013,01,96,77,84
2013,02,88,71,80
2013,03,83,69,76
2013,04,92,67,79
2013,05,88,62,78
2013,06,94,68,80
2013,07,94,68,80
2013,08,85,63,72
2013,09,82,63,73
2013,10,87,65,72
2013,11,89,66,76
2013,12,89,68,79
