tahun,bulan,maksimum,minimum,rata_rata
2012,01,"31,2","24,6","27,3"
2012,02,"32,1",25.00,"27,9"
2012,03,"32,1","24,8",28.00
2012,04,"32,4","25,3","28,1"
2012,05,"32,7","25,3","28,3"
2012,06,"32,7",25.00,"28,4"
2012,07,"32,6","24,5","27,9"
2012,08,"33,3","24,4","28,1"
2012,09,"33,6","24,8","28,5"
2012,10,34.00,"25,2","29,1"
2012,11,"32,8",25.00,"28,1"
2012,12,"32,5",25.00,28.00
