tahun,bulan,maksimum,minimum,rata_rata
2013,01,"32,6","22,6","26,9"
2013,02,34.00,"22,8","27,9"
2013,03,"35,2",24.00,"28,8"
2013,04,"34,6",24.00,"28,7"
2013,05,35.00,"23,4","28,7"
2013,06,"33,5",23.00,"27,3"
2013,07,"33,5",23.00,"27,3"
2013,08,35.00,"22,4","28,6"
2013,09,"35,4","24,2",29.00
2013,10,"35,8","22,4","29,4"
2013,11,35.00,"23,4","28,5"
2013,12,35.00,23.00,"27,7"
,,,,
