tahun,bulan,maksimum,minimum,rata_rata
2011,01,"32,6","23,4","27,3"
2011,02,"33,2","23,6","27,4"
2011,03,"34,8",24.00,"27,9"
2011,04,34.00,"24,2","28,6"
2011,05,"34,4",24.00,"28,8"
2011,06,"33,6","24,6","28,7"
2011,07,"33,2",24.00,"28,3"
2011,08,"34,6",24.00,"28,8"
2011,09,"34,8",24.00,29.00
2011,10,"35,2",24.00,"29,2"
2011,11,"35,4",24.00,"28,9"
2011,12,35.00,24.00,"28,9"
