tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
3/25/2020,56,23,---,82,---,82,4,O3,SEDANG
3/26/2020,54,25,---,58,5,58,4,O3,SEDANG
3/27/2020,65,25,---,70,5,70,4,O3,SEDANG
3/28/2020,74,26,19,104,11,104,4,O3,TIDAK SEHAT
3/29/2020,78,25,22,86,10,86,4,O3,SEDANG
3/30/2020,62,25,12,66,12,66,4,O3,SEDANG
3/31/2020,---,---,---,---,---,0,,,TIDAK ADA DATA
3/1/2020,22,---,35,213,11,213,4,O3,SANGAT TIDAK SEHAT
3/2/2020,22,---,---,201,15,201,4,O3,SANGAT TIDAK SEHAT
3/3/2020,54,---,39,152,13,152,4,O3,TIDAK SEHAT
3/4/2020,59,---,32,206,5,206,4,O3,SANGAT TIDAK SEHAT
3/5/2020,24,17,52,95,3,95,4,O3,SEDANG
3/6/2020,34,27,40,54,7,54,4,O3,SEDANG
3/7/2020,30,24,40,58,5,58,4,O3,SEDANG
3/8/2020,52,22,38,59,7,59,4,O3,SEDANG
3/9/2020,32,21,39,43,4,43,4,O3,BAIK
3/10/2020,25,20,36,41,4,41,4,O3,BAIK
3/11/2020,34,20,46,63,4,63,4,O3,SEDANG
3/12/2020,44,19,58,72,10,72,4,O3,SEDANG
3/13/2020,32,19,51,69,6,69,4,O3,SEDANG
3/14/2020,66,22,59,179,8,179,4,O3,TIDAK SEHAT
3/15/2020,53,18,63,92,8,92,4,O3,SEDANG
3/16/2020,48,19,62,70,9,70,4,O3,SEDANG
3/17/2020,40,18,38,101,9,101,4,O3,TIDAK SEHAT
3/18/2020,45,18,35,90,6,90,4,O3,SEDANG
3/19/2020,69,---,33,99,7,99,4,O3,SEDANG
3/20/2020,51,---,11,83,8,83,4,O3,SEDANG
3/21/2020,42,---,15,84,6,84,4,O3,SEDANG
3/22/2020,27,---,5,71,7,71,4,O3,SEDANG
3/23/2020,52,---,14,105,7,105,4,O3,TIDAK SEHAT
3/24/2020,70,---,25,93,11,93,4,O3,SEDANG
3/25/2020,34,---,6,99,5,99,4,O3,SEDANG
3/26/2020,44,---,9,67,5,67,4,O3,SEDANG
3/27/2020,40,---,6,117,5,117,4,O3,TIDAK SEHAT
3/28/2020,58,11,12,124,6,124,4,O3,TIDAK SEHAT
3/29/2020,65,14,11,91,7,91,4,O3,SEDANG
3/30/2020,53,9,10,76,5,76,4,O3,SEDANG
3/31/2020,47,11,14,96,6,96,4,O3,SEDANG
